Marque,Modèle,year,horsepower,road,boite,fuel,cylindrée,nbre_portes,Negociable,Prix
Audi,S4,2000,9 CV,207 000 KM,Manuelle,Diesel,18 L,5,,35000
Citroen,C5 II,2012,6 CV,193 KM,Manuelle,Diesel,7 L,5,,33
Renault,Clio,1996,5 CV,290 000 KM,Manuelle,Essence,5 L,5,Négociable,8500
Renault,R9,1985,5 CV,376 KM,Manuelle,Essence,5,,Négociable,6400
Ds,DS3,2010,5 CV,160 KM,Manuelle,Essence,3,,,27000
Suzuki,Celerio,2018,4 CV,30 000 KM,Manuelle,Essence,1 L,5,,31000
Honda,AUTRE,2016,5 CV,120 000 KM,Manuelle,Essence,3 L,5,,30000
Mercedes,Classe A,2013,6 CV,159 000 KM,Manuelle,Essence,5,,Négociable,50000
Seat,Ibiza,2014,5 CV,216 KM,Manuelle,Essence,3 L,5,Négociable,30
Renault,Clio,2017,4 CV,100 000 KM,Manuelle,Essence,3 L,5,,41500
Mercedes,Classe B,2007,7 CV,225 000 KM,Manuelle,Diesel,8 L,5,Négociable,17500
Mercedes,Classe C,2007,7 CV,493 KM,Manuelle,Diesel,5,,Négociable,32
Renault,Kadjar,2018,7 CV,107 000 KM,Automatique,Essence,3 L,5,Négociable,80000
Isuzu,D MAX,2006,10 CV,280 KM,Manuelle,Diesel,3,,,54000000
Seat,Ibiza,2020,4 CV,46 000 KM,Manuelle,Essence,1 L,5,,0
Renault,Autres,2022,4 CV,49 500 KM,Manuelle,Essence,1 L,5,Négociable,35000
Volkswagen,Polo,2021,5 CV,66 000 KM,Manuelle,Essence,3 L,5,Négociable,51000
Volkswagen,Passat,2011,9 CV,200 000 KM,Automatique,Essence,9 L,5,,32000
Renault,Clio,2022,5 CV,23 000 KM,Manuelle,Essence,1 L,5,,60
Volkswagen,Polo,1995,5 CV,200 000 KM,Manuelle,Essence,5 L,5,Négociable,11500
Kia,RIO,2024,5 CV,150 KM,Manuelle,Essence,5,,Négociable,33
